Names,Village,Monthly Income,Family Members,Connected to grid,Why not connected to grid?,Electricity available per day(in hrs),Electrical appliances,Mobile Charger(Wh),5W LED Torch,10W LED Torch,5W LED Bulb(Wh),10W LED Bulb(Wh),45W Fan(Wh),55W TV(Wh),130W Fridge(Wh),Source of fuel for  cooking,Electric meter,Electric bill of last month,Power cuts per week,Voltage problems if any,Worst months for service from the grid,Household members affected,Serious problems you experience with grid electricity,How often you pay for electricity bill,Who do you pay,How do you make your payment,Household members die because of the grid electricity,Solar devices,Why no Solar?,Solar Usage (Months),Cost of Solar,Savings after installing a solar light,Willing to shift to solar applicanes,Rechargeable batteries,Use of batteries,Cost of rechargeable battery,Electricity source to recharge the battery,Did you use KEROSENE/FUEL-BASED /CANDLE LIGHTING,Fuel source for LAMP,How often the [FUEL TYPE] available,How many months does it rain,Maximum temperature in Summer,Minimum temperature in Winter,Why no solar?,Capacity(Wh),Units Monthly,Capacity Tier,Availabilty Tier,Reliability Tier,Quality Tier,Affordability Tier,Legality Tier,Health & Safety Tier,Tier Ranking
Mark Koewler,Village 2,11378,8,No,No grid near by,0,0,0,0,0,0,0,0,0,0,Kerosene,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Lighting,901,Shop,No,Kerosene,Sometimes available,4,42,10,No subsidies are provided,0,0,0,0,5,3,5,5,3,0
Sandra Parker,Village 3,11369,8,No,Can't afford electricity bill,4,9,15,0,40,40,40,180,220,520,LPG,No,296.26574,16,No Problem,"['October', 'April', 'September']","['Could not operate a household business', 'Children could not study']","['Unexpectedly high bills', 'Supply shortage/not enough hours of electricity']",Monthly,No one (for free),Pay at the utility office,No,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Appliances,899,Grid,No,Biogas,Rarely available,4,42,10,No subsidies are provided,1055,31.65,3,2,3,5,5,3,5,2
Shannon Sears,Village 4,3882,3,Yes,Already Connected,5,4,15,10,0,20,40,0,0,0,Kerosene,Yes,130.52378,20,No Problem,"['February', 'April', 'June']","['Could not cook', 'Could not charge a phone']","['Supply shortage/not enough hours of electricity', 'Low/high voltage problems or voltage fluctuations']",Weekly,Landlord,Pay at the utility office,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,655,Grid,Yes,NA,NA,4,42,10,Low income,85,2.55,1,2,3,5,2,5,3,1
Vincent Voeks,Village 4,12316,7,No,Can't afford electricity bill,5,7,15,0,20,40,40,180,220,0,LPG,No,203.99702,20,Fluctuations,"['February', 'December', 'June']","['Could not charge a phone', 'Machines/appliances were damaged']","['Supply shortage/not enough hours of electricity', 'Low/high voltage problems or voltage fluctuations']",Monthly,No one (for free),Cash,Yes,Yes,Already using,6-12 months,1309,559,Already using,Yes,Appliances,236,Solar,No,Kerosene,Always available,4,42,10,No subsidies are provided,515,15.45,2,2,3,3,5,3,3,2
Marcelino Bekis,Village 1,9859,6,Yes,Already Connected,22,7,30,0,20,100,80,540,440,0,LPG,Yes,322.75028,8,Long Power Cuts,"['April', 'March', 'January']","['Could not cook', 'Could not charge a phone']","['Maintenance/service problems', 'Unexpectedly high bills']",Weekly,Community/village/municipality,Cash,Yes,No,Low income,Never Used,Never Purchased,Never installed,No,No,NA,NA,NA,No,Biogas,Always available,4,42,10,Initial investment is high,1210,36.3,3,4,4,3,5,5,3,3
Donald Connell,Village 3,3782,2,No,No grid near by,0,0,0,0,0,0,0,0,0,0,Kerosene,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1283,Shop,Yes,NA,NA,4,42,10,Low income,0,0,0,0,5,3,2,5,3,0
Derrick Hodak,Village 3,13452,7,No,Connection cost is very high,4,7,15,0,20,40,40,180,220,0,Kerosene,No,203.99702,16,Electrical applicances getting affected,"['November', 'August', 'May']","['Could not cook', 'Could not charge a phone']","['Low/high voltage problems or voltage fluctuations', 'Unexpectedly high bills']",Monthly,No one (for free),Online,No,Yes,Already using,3-6 months,981,1469,Already using,Yes,Appliances,1112,Solar,No,Diesel,Rarely available,4,42,10,Initial investment is high,515,15.45,2,2,3,3,5,3,5,2
Marie Evetts,Village 4,4071,2,Yes,Already Connected,5,3,15,10,0,20,0,0,0,0,LPG,Yes,123.68906,20,Long Power Cuts,"['September', 'January', 'May']","['Could not cook', 'Machines/appliances were damaged']","['Unexpectedly high bills', 'Supply shortage/not enough hours of electricity']",Weekly,Landlord,Online,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Lighting,1348,Shop,Yes,NA,NA,4,42,10,Low income,45,1.35,1,2,3,3,2,5,5,1
Riley Wallace,Village 4,12208,7,No,Can't afford electricity bill,5,7,15,0,20,40,40,180,220,0,Kerosene,No,203.99702,20,Electrical applicances getting affected,"['April', 'January', 'October']","['Children could not study', 'Could not operate a household business']","['Supply shortage/not enough hours of electricity', 'Low/high voltage problems or voltage fluctuations']",Weekly,No one (for free),Cash,No,Yes,Already using,1-3 months,2108,558,Already using,Yes,Appliances,680,Solar,No,Biogas,Sometimes available,4,42,10,Initial investment is high,515,15.45,2,2,3,3,5,3,5,2
Kristine Thomsen,Village 2,3884,3,Yes,Already Connected,3,4,10,5,0,10,20,0,0,0,Kerosene,Yes,123.68906,4,Fluctuations,"['October', 'November', 'January']","['Could not cook', 'Could not operate a household business']","['Low/high voltage problems or voltage fluctuations', 'Supply shortage/not enough hours of electricity']",Monthly,Pre-paid meter card seller,Online,Yes,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Lighting,1575,Shop,Yes,NA,NA,4,42,10,Low income,45,1.35,1,0,4,3,2,5,3,0
